name_last,name_first,key_fangraphs,full_name
alcala,santo,1000110,santo alcala
alcala,jorge,19459,jorge alcala
alcantara,israel,1558,israel alcantara
alcantara,sandy,18684,sandy alcantara
alcaraz,luis,1000111,luis alcaraz
alcock,scotty,1000112,scotty alcock
alcántara,victor,15028,victor alcántara
alcántara,arismendy,10711,arismendy alcántara
alcántara,sergio,16417,sergio alcántara
alcántara,raúl,12790,raúl alcántara
alderson,dale,1000113,dale alderson
aldred,scott,1000115,scott aldred
aldrete,mike,1000114,mike aldrete
aldrich,jay,1000117,jay aldrich
aldridge,vic,1000118,vic aldridge
aldridge,cory,1405,cory aldridge
alejo,bob,-1,bob alejo
aleno,chuck,1000119,chuck aleno
alexander,walt,1000129,walt alexander
alexander,chuffy,-1,chuffy alexander
alexander,gerald,1000124,gerald alexander
alexander,spencer,-1,spencer alexander
alexander,nin,1000127,nin alexander
alexander,hugh,1000125,hugh alexander
alexander,dale,1000121,dale alexander
alexander,koke,-1,koke alexander
alexander,pete,1000128,pete alexander
alexander,gary,1000123,gary alexander
alexander,doyle,1000122,doyle alexander
alexander,tyler,17735,tyler alexander
alexander,bob,1000120,bob alexander
alexander,scott,10591,scott alexander
alexander,buck,-1,buck alexander
alexander,jason,19666,jason alexander
alexander,ted,-1,ted alexander
alexander,matt,1000126,matt alexander
alexander,manny,1954,manny alexander
alexy,a. j.,22343,a. j. alexy
alfaro,jason,2388,jason alfaro
alfaro,jorge,12180,jorge alfaro
alfonseca,antonio,260,antonio alfonseca
alfonso,carlos,-1,carlos alfonso
alfonso,ángel,-1,ángel alfonso
alfonzo,edgardo,859,edgardo alfonzo
alfonzo,eliezer,2331,eliezer alfonzo
alford,anthony,14329,anthony alford
alicea,luis,584,luis alicea
allaire,bob,-1,bob allaire
allanson,andy,1000130,andy allanson
allard,kolby,18694,kolby allard
allard,brian,1000131,brian allard
alldred,cam,25078,cam alldred
allen,frank,1000140,frank allen
allen,cliney,-1,cliney allen
allen,cody,12183,cody allen
allen,todd,-1,todd allen
allen,myron,1000153,myron allen
allen,bob,1000133,bob allen
allen,clifford,-1,clifford allen
allen,bob,1000134,bob allen
allen,horace,1000145,horace allen
allen,johnny,1000150,johnny allen
allen,alex,-1,alex allen
allen,kim,1000151,kim allen
allen,john,1000149,john allen
allen,buddy,-1,buddy allen
allen,lloyd,1000152,lloyd allen
allen,half pint,-1,half pint allen
allen,newt,-1,newt allen
allen,pete,1000156,pete allen
allen,jack,1000146,jack allen
allen,nick,1000155,nick allen
allen,dick,1000137,dick allen
allen,neil,1000154,neil allen
allen,earl,1000135,earl allen
allen,chad,122,chad allen
allen,ethan,1000139,ethan allen
allen,hezekiah,1000144,hezekiah allen
allen,austin,18083,austin allen
allen,bob,1000136,bob allen
allen,dusty,1000138,dusty allen
allen,ham,1000142,ham allen
allen,sled,1000159,sled allen
allen,bernie,1000132,bernie allen
allen,toussaint,-1,toussaint allen
allen,rod,1000158,rod allen
allen,jamie,1000147,jamie allen
allen,brandon,7436,brandon allen
allen,ron,1000157,ron allen
allen,hosea,-1,hosea allen
allen,luke,1586,luke allen
allen,logan,18555,logan allen
allen,greg,16623,greg allen
allen,nick,22277,nick allen
allen,hank,1000143,hank allen
allenson,gary,1000141,gary allenson
allensworth,jermaine,1000148,jermaine allensworth
alley,gene,1000160,gene alley
allgeyer,nick,24486,nick allgeyer
allie,gair,1000162,gair allie
allietta,bob,1000161,bob allietta
allison,milo,1000170,milo allison
allison,,-1,
allison,dana,1000167,dana allison
allison,bob,1000166,bob allison
allison,bill,1000165,bill allison
allison,art,1000164,art allison
allison,mack,1000169,mack allison
allison,moody,-1,moody allison
allison,andy,1000163,andy allison
allison,doug,1000168,doug allison
allred,beau,1000171,beau allred
almada,mel,1000172,mel almada
almada,lou,-1,lou almada
almanza,armando,507,armando almanza
almanzar,carlos,308,carlos almanzar
almeida,rafael,1000173,rafael almeida
almon,bill,1000174,bill almon
almonte,erick,808,erick almonte
almonte,edwin,1764,edwin almonte
almonte,yency,15068,yency almonte
almonte,abraham,5486,abraham almonte
almonte,miguel,14139,miguel almonte
almonte,zoilo,6732,zoilo almonte
almonte,hector,1729,hector almonte
almora,albert,14109,albert almora
aloma,luis,1000175,luis aloma
alomar,roberto,860,roberto alomar
alomar,sandy,221,sandy alomar
alomar,sandy,1000176,sandy alomar
alonso,rogelio,-1,rogelio alonso
alonso,yonder,2530,yonder alonso
alonso,pete,19251,pete alonso
alou,moises,261,moises alou
alou,matty,1000179,matty alou
alou,felipe,1000177,felipe alou
alou,jesus,1000178,jesus alou
alston,tom,1000183,tom alston
alston,dave,-1,dave alston
alston,garvin,1000182,garvin alston
alston,walter,1000184,walter alston
alston,dell,1000181,dell alston
altamirano,porfi,1000185,porfi altamirano
altavilla,dan,16507,dan altavilla
alten,ernie,1000186,ernie alten
altenburg,jesse,1000187,jesse altenburg
altherr,aaron,11270,aaron altherr
altizer,dave,1000188,dave altizer
altman,george,1000189,george altman
altman,billy,-1,billy altman
altobelli,joe,1000190,joe altobelli
altrock,nick,1000191,nick altrock
altuve,jose,5417,jose altuve
alusik,george,1000192,george alusik
alvarado,josé,17780,josé alvarado
alvarado,luis,1000196,luis alvarado
alvarez,r. j.,13401,r. j. alvarez
alvarez,juan,1432,juan alvarez
alvarez,henderson,5669,henderson alvarez
alvarez,ossie,1000198,ossie alvarez
alvarez,jose,5358,jose alvarez
alvarez,yordan,19556,yordan alvarez
alvarez,clemente,1000193,clemente alvarez
alvarez,tony,1587,tony alvarez
alvarez,eddy,16959,eddy alvarez
alvarez,abe,6259,abe alvarez
alvarez,dario,14239,dario alvarez
alvarez,victor,1559,victor alvarez
alvarez,tavo,1000200,tavo alvarez
alvarez,wilson,1193,wilson alvarez
alvarez,gabe,1000194,gabe alvarez
alvarez,orlando,1000197,orlando alvarez
alvarez,rogelio,1000199,rogelio alvarez
alvis,max,1000201,max alvis
alvord,billy,1000202,billy alvord
alyea,brant,1000203,brant alyea
alzolay,adbert,17859,adbert alzolay
amalfitano,joey,1000204,joey amalfitano
amaral,rich,1000205,rich amaral
amarista,alexi,9063,alexi amarista
amaro,ruben,1000207,ruben amaro
amaro,ruben,1000206,ruben amaro
ambler,wayne,1000208,wayne ambler
ambres,chip,2042,chip ambres
ambriz,hector,559,hector ambriz
amburgey,trey,18425,trey amburgey
amelung,ed,1000209,ed amelung
ames,steve,9615,steve ames
ames,red,1000210,red ames
amezaga,alfredo,1,alfredo amezaga
amole,doc,1000211,doc amole
amor,vicente,1000213,vicente amor
amoros,sandy,1000212,sandy amoros
ancker,walter,1000214,walter ancker
andersen,larry,1000236,larry andersen
anderson,bubbles,-1,bubbles anderson
anderson,craig,1000221,craig anderson
anderson,cody,12799,cody anderson
anderson,wingo,1000246,wingo anderson
anderson,brian,18289,brian anderson
anderson,hal,1000229,hal anderson
anderson,rick,1000240,rick anderson
anderson,tanner,18029,tanner anderson
anderson,dwain,1000224,dwain anderson
anderson,chase,6895,chase anderson
anderson,kent,1000234,kent anderson
anderson,fred,1000226,fred anderson
anderson,garret,2,garret anderson
anderson,john,1000233,john anderson
anderson,lars,9018,lars anderson
anderson,harry,1000230,harry anderson
anderson,andy,-1,andy anderson
anderson,c.,-1,c. anderson
anderson,brady,364,brady anderson
anderson,roland,-1,roland anderson
anderson,larry,1000235,larry anderson
anderson,tyler,12880,tyler anderson
anderson,brian,44,brian anderson
anderson,bryan,9871,bryan anderson
anderson,goat,1000228,goat anderson
anderson,dave,1000223,dave anderson
anderson,scott,1000242,scott anderson
anderson,orinthal,-1,orinthal anderson
anderson,bill,-1,bill anderson
anderson,marlon,947,marlon anderson
anderson,fast ball,-1,fast ball anderson
anderson,jason,1661,jason anderson
anderson,sparky,1000243,sparky anderson
anderson,tim,15172,tim anderson
anderson,allan,1000216,allan anderson
anderson,ferrell,1000225,ferrell anderson
anderson,lewis,-1,lewis anderson
anderson,bud,1000220,bud anderson
anderson,drew,5578,drew anderson
anderson,brett,8223,brett anderson
anderson,walter,1000245,walter anderson
anderson,jimmy,977,jimmy anderson
anderson,bill,1000218,bill anderson
anderson,john,1000232,john anderson
anderson,ian,19951,ian anderson
anderson,matt,459,matt anderson
anderson,rick,1000241,rick anderson
anderson,dave,1000222,dave anderson
anderson,brian,6144,brian anderson
anderson,bill,-1,bill anderson
anderson,bob,1000219,bob anderson
anderson,varney,1000244,varney anderson
anderson,,-1,
anderson,andy,1000217,andy anderson
anderson,fireman,-1,fireman anderson
anderson,red,1000239,red anderson
anderson,nick,18337,nick anderson
anderson,alf,1000215,alf anderson
anderson,george,1000227,george anderson
anderson,josh,6032,josh anderson
anderson,drew,15130,drew anderson
anderson,mike,1000237,mike anderson
anderson,ollie,-1,ollie anderson
anderson,bobby,-1,bobby anderson
anderson,mike,1000238,mike anderson
anderson,justin,16201,justin anderson
anderson,shaun,19453,shaun anderson
anderson,jim,1000231,jim anderson
andino,robert,4900,robert andino
andrade,steve,7018,steve andrade
andre,john,1000255,john andre
andreoli,john,13012,john andreoli
andres,ernie,1000250,ernie andres
andress,brad,-1,brad andress
andress,bill,-1,bill andress
andrew,kim,1000257,kim andrew
andrews,wally,1000262,wally andrews
andrews,ed,1000248,ed andrews
andrews,ivy,1000253,ivy andrews
andrews,shane,1588,shane andrews
andrews,,-1,
andrews,john,1000256,john andrews
andrews,jeff,-1,jeff andrews
andrews,elbert,1000249,elbert andrews
andrews,clayton,1000247,clayton andrews
andrews,jim,1000254,jim andrews
andrews,fred,1000251,fred andrews
andrews,mike,1000258,mike andrews
andrews,nate,1000259,nate andrews
andrews,,-1,
andrews,hub,1000252,hub andrews
andrews,rob,1000260,rob andrews
andrews,curley,-1,curley andrews
andrews,,-1,
andrews,stan,1000261,stan andrews
andrews,jabbo,-1,jabbo andrews
andriese,matt,12022,matt andriese
andrus,fred,1000264,fred andrus
andrus,bill,1000263,bill andrus
andrus,elvis,8709,elvis andrus
andrus,wyman,1000265,wyman andrus
andujar,miguel,15878,miguel andujar
andujar,luis,1000267,luis andujar
andujar,joaquin,1000266,joaquin andujar
angelini,norm,1000268,norm angelini
angle,matt,8136,matt angle
angley,tom,1000269,tom angley
ankenman,pat,1000270,pat ankenman
ankiel,rick,1142,rick ankiel
anna,dean,8353,dean anna
annis,bill,1000271,bill annis
anson,cap,1000272,cap anson
anthony,eric,1000273,eric anthony
anthony,merle,-1,merle anthony
antolick,joe,1000274,joe antolick
antolin,dustin,7119,dustin antolin
antone,tejay,16233,tejay antone
antonelli,john,1000276,john antonelli
antonelli,matt,9343,matt antonelli
antonelli,johnny,1000277,johnny antonelli
antonello,bill,1000275,bill antonello
aoki,nori,13075,nori aoki
aparicio,luis,1000278,luis aparicio
apodaca,bob,1000279,bob apodaca
aponte,ricardo,-1,ricardo aponte
aponte,luis,1000280,luis aponte
apostel,sherten,21794,sherten apostel
appel,mark,14823,mark appel
appier,kevin,3,kevin appier
applegate,red,-1,red applegate
applegate,fred,1000282,fred applegate
applegate,gideon,-1,gideon applegate
appleton,pete,1000283,pete appleton
appleton,ed,1000281,ed appleton
appling,luke,1000284,luke appling
aquino,jayson,13150,jayson aquino
aquino,aristides,15482,aristides aquino
aquino,luis,1000285,luis aquino
aquino,greg,1899,greg aquino
aragon,jack,1000287,jack aragon
aranda,jonathan,21837,jonathan aranda
arano,víctor,15915,víctor arano
arata,mark,-1,mark arata
araujo,elvis,12854,elvis araujo
archdeacon,maurice,1000288,maurice archdeacon
archer,chris,6345,chris archer
archer,jim,1000291,jim archer
archer,jimmy,1000290,jimmy archer
archer,fred,1000289,fred archer
archie,george,1000292,george archie
arcia,orlando,13185,orlando arcia
arcia,francisco,10286,francisco arcia
arcia,oswaldo,10306,oswaldo arcia
arcia,jose,1000293,jose arcia
ardell,dan,1000294,dan ardell
ardizoia,rugger,1000295,rugger ardizoia
ardner,joe,1000296,joe ardner
ardoin,danny,585,danny ardoin
arellanes,frank,1000297,frank arellanes
arenado,nolan,9777,nolan arenado
arenas,hipolito,-1,hipolito arenas
arencibia,j. p.,697,j. p. arencibia
arencibia,mario,-1,mario arencibia
arft,hank,1000298,hank arft
arias,joaquin,3817,joaquin arias
arias,gabriel,22563,gabriel arias
arias,alberto,3087,alberto arias
arias,alex,123,alex arias
arias,rudy,1000300,rudy arias
arias,george,1000299,george arias
arihara,heiji,-1,heiji arihara
arihara,kohei,27505,kohei arihara
arlett,buzz,1000301,buzz arlett
arlich,don,1000302,don arlich
arlin,steve,1000303,steve arlin
armas,tony,761,tony armas
armas,tony,1000305,tony armas
armas,marcos,1000304,marcos armas
armas,felipe,-1,felipe armas
armbrister,ed,1000307,ed armbrister
armbrust,orville,1000309,orville armbrust
armbruster,charlie,1000306,charlie armbruster
armbruster,harry,1000308,harry armbruster
armendariz,ramon,-1,ramon armendariz
armenteros,rogelio,17679,rogelio armenteros
armour,buddy,-1,buddy armour
armour,bill,-1,bill armour
armour,,-1,
armstead,jimmie,-1,jimmie armstead
armstrong,shawn,12857,shawn armstrong
armstrong,jack,1000313,jack armstrong
armstrong,george,1000311,george armstrong
armstrong,robert,1000310,robert armstrong
armstrong,howard,1000312,howard armstrong
armstrong,mike,1000314,mike armstrong
arndt,harry,1000315,harry arndt
arndt,larry,1000316,larry arndt
arnold,billy,1000317,billy arnold
arnold,jamie,1000319,jamie arnold
arnold,frank,-1,frank arnold
arnold,chris,1000318,chris arnold
arnold,tony,1000321,tony arnold
arnold,scott,1000320,scott arnold
arnold,paul,-1,paul arnold
arnovich,morrie,1000322,morrie arnovich
arnsberg,brad,1000323,brad arnsberg
arntzen,orie,1000324,orie arntzen
aro,jonathan,14699,jonathan aro
arocha,rené,1000325,rené arocha
arozarena,randy,19290,randy arozarena
arraez,luis,18568,luis arraez
arredondo,jose,4722,jose arredondo
arrieta,david,-1,david arrieta
arrieta,jake,4153,jake arrieta
arrigo,gerry,1000326,gerry arrigo
arrojo,rolando,174,rolando arrojo
arroyo,christian,16434,christian arroyo
arroyo,luis,1000328,luis arroyo
arroyo,rudy,1000329,rudy arroyo
arroyo,bronson,978,bronson arroyo
arroyo,fernando,1000327,fernando arroyo
arruebarrena,erisbel,15809,erisbel arruebarrena
arsenault,pierre,-1,pierre arsenault
arteaga,humberto,13595,humberto arteaga
arundel,harry,1000330,harry arundel
arundel,tug,1000331,tug arundel
asadoor,randy,1000332,randy asadoor
asbell,jim,1000333,jim asbell
asbjornson,casper,1000334,casper asbjornson
asbury,orlando,-1,orlando asbury
ascanio,jose,3951,jose ascanio
ascanio,carlos,-1,carlos ascanio
asche,cody,11997,cody asche
aschwege,dave,-1,dave aschwege
asencio,miguel,586,miguel asencio
asencio,jairo,3332,jairo asencio
ash,rudolph,-1,rudolph ash
ash,ken,1000338,ken ash
ashburn,richie,1000335,richie ashburn
ashby,andy,637,andy ashby
ashby,alan,1000336,alan ashby
ashby,aaron,23550,aaron ashby
ashby,earl,-1,earl ashby
ashcraft,graham,27552,graham ashcraft
asher,alec,13560,alec asher
ashford,emmett,-1,emmett ashford
ashford,tucker,1000337,tucker ashford
ashley,billy,1000339,billy ashley
ashley,nevin,3274,nevin ashley
asmussen,tom,1000340,tom asmussen
aspromonte,bob,1000341,bob aspromonte
aspromonte,ken,1000342,ken aspromonte
assad,javier,21741,javier assad
asselstine,brian,1000343,brian asselstine
assenmacher,paul,1000344,paul assenmacher
astacio,pedro,862,pedro astacio
astacio,ezequiel,2169,ezequiel astacio
astin,barrett,14812,barrett astin
astroth,joe,1000345,joe astroth
astudillo,willians,15608,willians astudillo
asuaje,carlos,15197,carlos asuaje
atchison,scott,2642,scott atchison
atchley,justin,1000346,justin atchley
atherton,charlie,1000347,charlie atherton
atherton,keith,1000348,keith atherton
atilano,luis,3802,luis atilano
atkins,mitch,8369,mitch atkins
atkins,joe,-1,joe atkins
atkins,abe,-1,abe atkins
atkins,tommy,1000354,tommy atkins
atkins,james,1000352,james atkins
atkins,garrett,1790,garrett atkins
atkinson,ed,1000351,ed atkinson
atkinson,al,1000349,al atkinson
atkinson,lefty,1000353,lefty atkinson
atkinson,harry,1000076,harry atkinson
atkinson,bill,1000350,bill atkinson
attreau,dick,1000355,dick attreau
atwell,toby,1000356,toby atwell
atwood,bill,1000357,bill atwood
atz,jake,1000358,jake atz
aubrey,michael,6049,michael aubrey
aubrey,harry,1000359,harry aubrey
aucoin,derek,1000360,derek aucoin
aude,rich,1000361,rich aude
auerbach,rick,1000362,rick auerbach
augenstein,bryan,936,bryan augenstein
august,don,1000364,don august
augustine,dave,1000363,dave augustine
augustine,jerry,1000365,jerry augustine
auker,elden,1000366,elden auker
aulds,tex,1000367,tex aulds
ault,doug,1000368,doug ault
aumont,phillippe,5362,phillippe aumont
aurilia,rich,1106,rich aurilia
ausanio,joe,1000369,joe ausanio
ausmus,brad,546,brad ausmus
aust,dennis,1000370,dennis aust
austin,tyler,11850,tyler austin
austin,rick,1000374,rick austin
austin,ed,-1,ed austin
austin,jeff,587,jeff austin
austin,jimmy,1000372,jimmy austin
austin,raymond,-1,raymond austin
austin,frankie,-1,frankie austin
austin,jim,1000373,jim austin
austin,henry,1000371,henry austin
autry,al,1000375,al autry
autry,martin,1000377,martin autry
autry,chick,1000376,chick autry
avelino,abiatal,15496,abiatal avelino
aven,bruce,366,bruce aven
averill,earl,1000378,earl averill
averill,earl,1000379,earl averill
avery,skip,-1,skip avery
avery,steve,1706,steve avery
avery,ham,-1,ham avery
avery,xavier,8471,xavier avery
avila,alex,7476,alex avila
avila,pedro,18864,pedro avila
avila,bobby,1000380,bobby avila
aviles,ramon,1000381,ramon aviles
aviles,mike,5986,mike aviles
avrea,jay,1000382,jay avrea
awkard,russell,-1,russell awkard
axelrod,dylan,9303,dylan axelrod
axford,john,9059,john axford
ayala,bobby,1000384,bobby ayala
ayala,luis,1650,luis ayala
ayala,benny,1000383,benny ayala
aybar,erick,4082,erick aybar
aybar,willy,2192,willy aybar
aybar,manny,1107,manny aybar
aydelott,jake,1000385,jake aydelott
ayers,a. d.,-1,a. d. ayers
ayers,bill,1000386,bill ayers
ayers,doc,1000387,doc ayers
aylward,dick,1000388,dick aylward
ayrault,joe,1000390,joe ayrault
ayrault,bob,1000389,bob ayrault
azcue,joe,1000391,joe azcue
azocar,oscar,1000392,oscar azocar
azocar,josé,18821,josé azocar
babb,charlie,1000393,charlie babb
babcock,bob,1000394,bob babcock
babe,loren,1000395,loren babe
babich,johnny,1000396,johnny babich
babington,charlie,1000397,charlie babington
babitt,shooty,1000398,shooty babitt
bacchus,erich,-1,erich bacchus
backe,brandon,1529,brandon backe
backman,les,1000399,les backman
backman,wally,1000400,wally backman
bacon,eddie,1000401,eddie bacon
bacon,john,-1,john bacon
bacsik,mike,1000402,mike bacsik
bacsik,mike,863,mike bacsik
bacus,dakota,14545,dakota bacus
baczewski,fred,1000403,fred baczewski
baddoo,akil,22168,akil baddoo
badenhop,burke,9736,burke badenhop
bader,art,1000404,art bader
bader,lore,1000405,lore bader
bader,harrison,18030,harrison bader
badgro,red,1000406,red badgro
bae,ji hwan,23818,ji hwan bae
baecht,ed,1000407,ed baecht
baek,cha-seung,8214,cha-seung baek
baerga,carlos,175,carlos baerga
baez,julio,-1,julio baez
baez,kevin,1000410,kevin baez
baez,benito,1000408,benito baez
bagby,babe,-1,babe bagby
bagby,jim,1000412,jim bagby
bagby,jim,1000411,jim bagby
bagley,ed,-1,ed bagley
bagley,gene,-1,gene bagley
bagwell,bill,1000413,bill bagwell
bagwell,jeff,547,jeff bagwell
bahnsen,stan,1000414,stan bahnsen
bahr,ed,1000415,ed bahr
bahret,frank,1000416,frank bahret
baichley,grover,1000417,grover baichley
bailes,scott,1000430,scott bailes
bailey,fred,1000422,fred bailey
bailey,bill,1000418,bill bailey
bailey,,-1,
bailey,alonza,-1,alonza bailey
bailey,jim,1000426,jim bailey
bailey,king,1000427,king bailey
bailey,buddy,-1,buddy bailey
bailey,abraham,1000432,abraham bailey
bailey,harvey,1000424,harvey bailey
bailey,roger,1000429,roger bailey
bailey,howard,1000425,howard bailey
bailey,percy,-1,percy bailey
bailey,ed,1000421,ed bailey
bailey,brandon,19582,brandon bailey
bailey,bob,1000420,bob bailey
bailey,jeff,2394,jeff bailey
bailey,bill,1000419,bill bailey
bailey,steve,1000431,steve bailey
bailey,homer,8362,homer bailey
bailey,cory,588,cory bailey
bailey,mark,1000428,mark bailey
bailey,gene,1000423,gene bailey
bailey,andrew,1368,andrew bailey
bailor,bob,1000433,bob bailor
bain,loren,1000435,loren bain
baines,harold,1000434,harold baines
bair,doug,1000439,doug bair
baird,john,-1,john baird
baird,bob,1000437,bob baird
baird,al,1000436,al baird
baird,,-1,
baird,doug,1000438,doug baird
baisley,jeff,9684,jeff baisley
bajenaru,jeff,2920,jeff bajenaru
bakenhaster,dave,1000441,dave bakenhaster
baker,jesse,1000461,jesse baker
baker,floyd,1000452,floyd baker
baker,del,1000448,del baker
baker,phil,1000465,phil baker
baker,charles,-1,charles baker
baker,charlie,1000445,charlie baker
baker,home run,1000453,home run baker
baker,norm,1000464,norm baker
baker,jack,1000459,jack baker
baker,bill,1000443,bill baker
baker,ernie,1000451,ernie baker
baker,henry,-1,henry baker
baker,steve,1000467,steve baker
baker,bryan,19804,bryan baker
baker,william,75423998,william baker
baker,scott,1000466,scott baker
baker,gene,1000457,gene baker
baker,dusty,1000450,dusty baker
baker,edgar,-1,edgar baker
baker,jeff,2073,jeff baker
baker,rufus,-1,rufus baker
